process.parent.name,process.parent.pid,process.group_leader.pid,process.session_leader.pid,process.pid,process.command_line,process.executable,@timestamp,host.os.family,host.name,user.name
/usr/bin/xargs,10974,10957,10950,11013,basename /usr/local/Cellar/python@3.11/3.11.7_1/IDLE 3.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,11025,basename /usr/local/Cellar/python@3.12/3.12.1_1/Python Launcher 3.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/sbin/launchd,1,1,1,11050,xpcproxy com.apple.mdworker.shared.0D000000-0600-0000-0000-000000000000,/usr/libexec/xpcproxy,2024-11-21T23:56:56.145Z,darwin,scr-office-imac.local,root
/Volumes/BrewApp/BrewApp,10957,10957,10950,11057,"sh -c osascript -e 'display dialog ""Some error occurred while running the application."" buttons {""OK""} default button 1 with icon stop'",/bin/sh,2024-11-21T23:57:01.151Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,11067,11067,10950,11068,/bin/cat /Users/michael.scott/.bash_sessions/8A8F76C6-1CFE-4D6D-83A1-169035BF07BD.historynew,/bin/cat,2024-11-21T23:57:05.155Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,11073,10951,10950,11074,/usr/bin/find /Users/michael.scott/.bash_sessions -type f -mtime +2w -print -delete,/usr/bin/find,2024-11-21T23:57:05.156Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,11076,11076,10950,11077,/usr/bin/touch /Users/michael.scott/.bash_sessions/_expiration_check_timestamp,/usr/bin/touch,2024-11-21T23:57:05.156Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,11065,11065,10950,11066,/bin/cat /Users/michael.scott/.bash_sessions/8A8F76C6-1CFE-4D6D-83A1-169035BF07BD.historynew,/bin/cat,2024-11-21T23:57:05.155Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,10958,"sh -c osascript -e 'tell application ""Terminal"" to set visible of front window to false'",/bin/bash,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,10965,dscl /Local/Default -authonly michael.scott ,/usr/bin/dscl,2024-11-21T23:56:49.137Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,10980,basename /Users/michael.scott/Downloads/New Updates in Crypto Exchanges (2024-09-01).app,/usr/bin/basename,2024-11-21T23:56:54.141Z,darwin,scr-office-imac.local,michael.scott
/sbin/launchd,1,1,1,11045,xpcproxy com.apple.filesystems.netfs.PlugInLibraryService 11044,/usr/libexec/xpcproxy,2024-11-21T23:56:54.143Z,darwin,scr-office-imac.local,root
/bin/bash,10971,10957,10950,10974,xargs -I % basename %,/usr/bin/xargs,2024-11-21T23:56:54.140Z,darwin,scr-office-imac.local,michael.scott
